property_id,parent_property_id,property_name,property_type,property_website,is_disabled,is_featured,year_built,address_full,address_street,address_city,address_state,address_zip,address_country,email,email_mailto,phone,phone_tel,latitude,longitude,coordinates,image_url,icon_url,leasing_portfolio,gmh_portfolio,marker_color,short_description,long_description
739076,,Campustown 1008 S. 4th,Student,https://www.theacademycampustown.com/,FALSE,FALSE,,"1008 S. 4th, Champaign, IL 61820, US",1008 S. 4th,Champaign,IL,61820,US,info@theacademycampustown.com,mailto:info@theacademycampustown.com,,,40.1061258,-88.2329753,"40.1061258,-88.23297529999999",,,Student Housing Portfolio,GMH,darkblue,,
739085,,1047 Commonwealth Avenue,Student,https://1047commonwealthavenue.prospectportal.com/,FALSE,FALSE,,"1047 Commonwealth Avenue, Boston, MA 02215, US",1047 Commonwealth Avenue,Boston,MA,2215,US,info@1047commonwealth.com,mailto:info@1047commonwealth.com,,,42.3522312,-71.1226248,"42.3522312,-71.1226248",,,Student Housing Portfolio,AGC,,,
739079,739076,307 E. Daniel,Student,https://www.theacademycampustown.com/,FALSE,FALSE,,"307 E. Daniel, Champaign, IL 61820, US",307 E. Daniel,Champaign,IL,61820,US,info@theacademycampustown.com,mailto:info@theacademycampustown.com,,,40.1076329,-88.2344561,"40.1076329,-88.2344561",,,Student Housing Portfolio,AGC,,,
739080,739076,501 S. 6th,Student,https://www.theacademycampustown.com/,FALSE,FALSE,,"501 S. 6th, Champaign, IL 61820, US",501 S. 6th,Champaign,IL,61820,US,Info@theacademycampustown.com,mailto:Info@theacademycampustown.com,,,40.1124935,-88.2310302,"40.1124935,-88.23103019999999",,,Student Housing Portfolio,AGC,,,
739084,739076,908 S. 1st,Student,https://www.theacademycampustown.com/,FALSE,FALSE,,"908 S. 1st, Champaign, IL 61820, US",908 S. 1st,Champaign,IL,61820,US,Info@theacademycampustown.com,mailto:Info@theacademycampustown.com,,,40.1072314,-88.2384107,"40.1072314,-88.2384107",,,Student Housing Portfolio,AGC,,,
641240,,Academy 65,Student,https://www.academy65.com,FALSE,FALSE,2018,"1325 65th St, Sacramento, CA 95819, US",1325 65th St,Sacramento,CA,95819,US,info@academy65.com,mailto:info@academy65.com,,,38.5552588,-121.4269372,"38.5552588,-121.4269372",,,Student Housing Portfolio,AGC,,,
676055,,Academy Lincoln,Student,https://www.academylincoln.com/academy-lincoln-lincoln-nebraska/,FALSE,FALSE,,"1850 P Street, Lincoln, NE 68508, US",1850 P Street,Lincoln,NE,68508,US,info@academylincoln.com,mailto:info@academylincoln.com,,,40.8150396,-96.6949747,"40.8150396,-96.69497469999999",,,Student Housing Portfolio,AGC,,,
1115679,,ANOVA uCity Square,Apartment,https://www.anovaucity.com/,FALSE,FALSE,,"3700 Lancaster Avenue, Philadelphia, PA 19104, US",3700 Lancaster Avenue,Philadelphia,PA,19104,US,info@anovaucity.com,mailto:info@anovaucity.com,,,39.9595073,-75.1958038,"39.9595073,-75.1958038",,,Innovative Housing Portfolio,,,,
1161867,,Courts at Spring Mill Station,Apartment,https://www.courtsatspringmill.com/,FALSE,FALSE,2014,"1101 E. Hector Street, #104, Conshohocken, PA 19428, US","1101 E. Hector Street, #104",Conshohocken,PA,19428,US,info@courtsatspringmill.com,mailto:info@courtsatspringmill.com,,,40.075301,-75.2870396,"40.075301,-75.2870396",,,Conventional Portfolio,,,,"Welcome home to The Courts at Spring Mill Station. Our brand new contemporary and comfortable apartments in Conshohocken are intuitively designed for style, functionality, convenience and historic charm, with inviting open-concept floor plans, abundant amenities, scenic views and garage parking. Close to transportation, shopping, restaurants and outdoor activities, our controlled access community is ideal for families, couples and individuals who appreciate a maintenance-free lifestyle in an upscale community with all the comforts of home and more.
Located on Hector Street in Conshohocken, The Courts at Spring Mill Station are just steps from the train to Center City in Philadelphia and other local attractions. We are also adjacent to the scenic Schuylkill Trail with views of the Schuylkill River. Walk to area bars, restaurants and shopping. Perfect your swing at the area's championship Golf Courses. Or stay right at home and take advantage of our clubroom, fitness center and resort-style swimming pool. 
Find the space that suites your lifestyle at The Courts at Spring Mill Station. We offer one and two bedroom apartments and lofts and apartments with dens, all designed to maximize space, storage and comfort. Experience contemporary living with open floor plans, granite countertops, stainless steel appliances and stacked washer/dryer. Energy efficient oversized windows allow natural light to flow while you take in scenic views of the Schuylkill River, landscaped courtyards or resort-like pool. As part of our goal to become LEED certified, The Courts at Spring Mill Station also feature energy and water efficient appliances and smoke-free buildings.
Get the most out of living at the Courts at Spring Mill Station. We offer activities for every age and interest. Relax in our large clubroom with games, high definition TVs and a fireplace. Pick up the pace in our fitness center, indoor basketball and volleyball courts or yoga and Pilates studio. Barbecue by the pool or gather in our dining area or Wi-Fi caf&eacute;. And remember, when you do venture out, the SEPTA Spring Mill Station with trains to Center City is just steps away."
518044,,Shortbread Lofts,Student,http://shortbreadlofts.com,FALSE,FALSE,2014,"333 W Rosemary Street, Chapel Hill, NC 27516, US",333 W Rosemary Street,Chapel Hill,NC,27516,US,info@shortbreadlofts.com,mailto:info@shortbreadlofts.com,,,35.9117621,-79.0615264,"35.9117621,-79.06152639999999",,,Student Housing Portfolio,Principal,,,
